,category_filtered,2014-easyprivacy,2015-easyprivacy,2016-easyprivacy,2017-easyprivacy,2018-easyprivacy,2019-easyprivacy,2020-easyprivacy,2021-easyprivacy
0, Pharmacy,36,30,28,17,25,3,3,3
1, Potential Illegal Software,24,19,0,0,2,4,9.5,10.6
2, Finance/Banking ,23,21.5,38,22,37,41,29.5,9.5
3, Personal Pages ,23,17,35,29,0,15,6,6
4, Education/Reference ,22,22.5,13,11.66666667,15.66666667,11.66666667,12.33333333,7.333333333
5, Entertainment ,21,19,19.5,24.25,28.75,19,12.5,18.75
6, Public Information,20.66666667,13,9.333333333,9.666666667,12.66666667,7.666666667,6.333333333,7.666666667
7, Health,15.33333333,12,20.66666667,43,27,21,18.33333333,21.33333333
8, Stock Trading,15.33333333,17.33333333,8.666666667,5.333333333,9,14,15.25,11.75
9, Real Estate,14.2,10.2,16,20,19.25,21.66666667,22,18.25
10, Portal Sites,13.875,13.3030303,16.42424242,16.15151515,14.35483871,13.15151515,12.1875,13.86666667
11, Education/Reference,13.23529412,11.6875,12.13333333,11.1875,13.1875,12.6,12.46666667,12.23076923
12, Online Shopping ,13.125,11.85714286,15.85714286,23.66666667,14.14285714,18.125,14.55555556,19
13, Web Mail,13,2,2,3,3,2,0,2
14, Personal Network Storage ,13,13.25,13.25,24.25,15.5,17,12.75,6.75
15, Business ,12.5,14,10.5,41.25,16.75,25.2,19.2,17.6
16, Media Sharing,12.33333333,2,10.66666667,8.5,10.33333333,12.66666667,12,10.33333333
17, Interactive Web Applications,12.33333333,13.5,11.66666667,10.88888889,13.71428571,14.3,14.88888889,10.2
18, Software/Hardware,12.18181818,14.44444444,11.90909091,12.1,11.5,9.555555556,13.5,8.6
19, Shareware/Freeware,12,10,11.25,6.25,8.5,9.25,3.75,4
20, Sports,11.8,13.2,15.75,14.69230769,15,24.61538462,18.76923077,21
21, Marketing/Merchandising,11.77777778,7.375,14.66666667,12.44444444,13,10.28571429,6.75,9.714285714
22, Travel,11.42857143,12.71428571,10.83333333,17.71428571,15.71428571,30.66666667,24.57142857,19
23, General News,11.375,12.58974359,14.90243902,16.92682927,17.51162791,18.11627907,19.62790698,20.82608696
24, Games,11.33333333,10.44444444,10.11111111,10.875,9.1,7.857142857,7.6,8.875
25, Finance/Banking,10.90909091,11.63636364,11.09090909,11.45454545,13.25,15.19047619,15.05,12.08333333
26, Auctions/Classifieds,10.90909091,12.5,13.69230769,13.81818182,17,18.54545455,17.63636364,14.54545455
27, Fashion/Beauty,10.5,11,8,22,11,24,12,18
28, Forum/Bulletin Boards,10.25,9,8.5,5.666666667,4.5,6.25,2.5,4.5
29, Job Search,10.2,22.2,32.75,39.75,39.6,26,32.8,28
30, Art/Culture/Heritage,10,10,19,25,19,24,8,6
31, Restaurants,10,11,19,25,21,6,2,9
32, Content Server,10,4,7,0,0,4,4,4
33, Recreation/Hobbies,10,11,9,15,13,21,23,20
34, Internet Services,9.529411765,10.05714286,9.111111111,11.90909091,12.36363636,13,11.66666667,12.62857143
35, Blogs/Wiki ,9.5,14.5,9,9.5,10,13,7,7
36, Entertainment,9.066666667,12.61538462,10.92857143,14,13.375,17.22222222,12.26315789,13.26315789
37, Streaming Media ,9,8,7.5,10,2,8.5,10,4
38, Business,8.625,9.6875,8.482758621,11.06896552,10.5,12.44,13.4516129,11.32258065
39, Online Shopping,8.545454545,8.119047619,9.214285714,10,9.583333333,11.29166667,12,11.30769231
40, Social Networking,8.444444444,11.1,10.90909091,11,10.7,11,7.090909091,8.454545455
41, Blogs/Wiki,8.090909091,7.909090909,10.45454545,12.6,12.72727273,11.45454545,19.11111111,12.63636364
42, Instant Messaging,8,4.6,6.8,6,4.5,4.25,5,4.75
43, Visual Search Engine,8,11,18,5,6,5,7,8
44, Media Downloads,7.5,11.5,13,12,4.333333333,2.666666667,7,4
45, Public Information ,7,6,7,22,24,0,9,0
46, Professional Networking,7,7,5,9.5,12.5,7,8.5,8
47, Pornography,6.818181818,6.636363636,7.363636364,8.363636364,9.307692308,7.384615385,6.461538462,7.384615385
48, Internet Radio/TV,6.5,16,12.5,25.5,25,11,13,13
49, Technical/Business Forums,6,8.555555556,10.83333333,8.571428571,8.555555556,9.444444444,10,7.222222222
50, Streaming Media,6,7.666666667,12,17.25,17.25,8.666666667,10,11.75
51, Personal Network Storage,5.333333333,9.5,9.333333333,19.33333333,16,16,12.33333333,1.5
52, Web Meetings,5,5,19,26,45,40,12,11
53, Dating/Personals,5,3,0,5,6,0,18,2
54, Parked Domain,4.5,3.5,7,9.5,5.5,6.5,7,6.5
55, Technical Information,3,2,3.333333333,3.333333333,3,8.333333333,19,19
56, Text Translators,3,7,0,0,0,0,0,0
57, Search Engines,2.833333333,2.833333333,2.147058824,2.428571429,2.117647059,2.194444444,2.513513514,6.085714286
58, Chat ,2,2,2,11,0,0,9,8
59, P2P/File Sharing ,2,2,2,2,2,2,2,2
60, Government/Military ,0,18,10,10,9,10,9,10
61, PUPs (potentially unwanted programs),0,6,2,2,2,2,2,2
62, Portal Sites ,0,19,16,21,26,24,28,10
63, Gambling,0,0,3.666666667,2.5,5,6,8.5,6
64, Resource Sharing,0,0,0,2,2,0,8,8
